d,cr
2017-02-16,"	0.010543933"
2017-02-17,"	0.010026525"
2017-02-18,"	0.008560688"
2017-02-19,"	0.01080916"
2017-02-20,"	0.012026814"
2017-02-21,"	0.010516292"
2017-02-22,"	0.00971392"
2017-02-23,"	0.01337923"
2017-02-24,"	0.010038402"
2017-02-25,"	0.010501245"
2017-02-26,"	0.012044982"
2017-02-27,"	0.012246548"
2017-02-28,"	0.014846608"
2017-03-01,"	0.01157437"
2017-03-02,"	0.010870248"
2017-03-03,"	0.010805072"
2017-03-04,"	0.010568438"
2017-03-05,"	0.010981838"
2017-03-06,"	0.012047598"
2017-03-07,"	0.01129913"
2017-03-08,"	0.012120358"
2017-03-09,"	0.011515114"
2017-03-10,"	0.0104811"
2017-03-11,"	0.011751539"
2017-03-12,"	0.013677234"
2017-03-13,"	0.016290933"
2017-03-14,"	0.011627247"
2017-03-15,"	0.009417551"
2017-03-16,"	0.010305077"
2017-03-17,"	0.014909478"
2017-03-18,"	0.013642269"
2017-03-19,"	0.015870343"
2017-03-20,"	0.016161832"
2017-03-21,"	0.013511966"
2017-03-22,"	0.012219287"
2017-03-23,"	0.014317817"
2017-03-24,"	0.012220871"
2017-03-25,"	0.010139573"
2017-03-26,"	0.011728539"
2017-03-27,"	0.014877227"
2017-03-28,"	0.011898748"
2017-03-29,"	0.009529752"
2017-03-30,"	0.014019301"
2017-03-31,"	0.013241067"
2017-04-01,"	0.015724382"
2017-04-02,"	0.01479521"
2017-04-03,"	0.020094356"
2017-04-04,"	0.018917202"
2017-04-05,"	0.01418392"
2017-04-06,"	0.013290205"
2017-04-07,"	0.013744575"
2017-04-08,"	0.013707501"
2017-04-09,"	0.015818469"
2017-04-10,"	0.019336654"
2017-04-11,"	0.015646018"
2017-04-12,"	0.014710461"
2017-04-13,"	0.0134611"
2017-04-14,"	0.012726694"
2017-04-15,"	0.010383314"
2017-04-16,"	0.013961995"
2017-04-17,"	0.018092505"
2017-04-18,"	0.018430589"
2017-04-19,"	0.014979729"
2017-04-20,"	0.016658636"
2017-04-21,"	0.014318166"
2017-04-22,"	0.014845309"
2017-04-23,"	0.017733307"
2017-04-24,"	0.018469346"
2017-04-25,"	0.016919072"
2017-04-26,"	0.014360313"
2017-04-27,"	0.013064713"
2017-04-28,"	0.014343772"
2017-04-29,"	0.011130327"
2017-04-30,"	0.016762962"
2017-05-01,"	0.022922336"
2017-05-02,"	0.016835017"
2017-05-03,"	0.012031408"
2017-05-04,"	0.013492242"
2017-05-05,"	0.014299272"
2017-05-06,"	0.014708251"
2017-05-07,"	0.014912207"
2017-05-08,"	0.01747228"
2017-05-09,"	0.01817403"
2017-05-10,"	0.0155902"
2017-05-11,"	0.011820331"
2017-05-12,"	0.013154776"
2017-05-13,"	0.010716619"
2017-05-14,"	0.012924407"
2017-05-15,"	0.018655788"
2017-05-16,"	0.013830884"
2017-05-17,"	0.013779187"
2017-05-18,"	0.011711712"
2017-05-19,"	0.012997607"
2017-05-20,"	0.011970534"
2017-05-21,"	0.012586084"
2017-05-22,"	0.016544203"
2017-05-23,"	0.014962594"
2017-05-24,"	0.015308615"
2017-05-25,"	0.011618809"
2017-05-26,"	0.013498636"
2017-05-27,"	0.011887977"
2017-05-28,"	0.01279363"
2017-05-29,"	0.023941725"
2017-05-30,"	0.017988094"
2017-05-31,"	0.01674655"
2017-06-01,"	0.01510515"
2017-06-02,"	0.012564476"
2017-06-03,"	0.012722372"
2017-06-04,"	0.015005908"
2017-06-05,"	0.014365636"
2017-06-06,"	0.014747964"
2017-06-07,"	0.014191107"
2017-06-08,"	0.01300101"
2017-06-09,"	0.012361086"
2017-06-10,"	0.011597622"
2017-06-11,"	0.015325507"
2017-06-12,"	0.021382558"
2017-06-13,"	0.017528381"
2017-06-14,"	0.015518115"
2017-06-15,"	0.015971952"
